ID,Place Name,District,Category,Sub-Category,Distance from Raipur (km),Nearest Railway Station,Distance from Railway Station (km),Nearest Airport,Distance from Airport (km),Nearest Bus Stand,Distance from Bus Stand (km),Best Season to Visit,Safe to Visit in Winter,Safe to Visit in Summer,Safe to Visit in Monsoon,How to Reach from Raipur,Cab Available,Bus Available,Train Direct from Raipur,Entry Fee (INR),Avg Stay Cost per night (INR),Avg Food Cost per day (INR),Estimated Total Trip Budget (INR) 1 Night,Local Specialty Food,Famous Restaurants / Dhabas,Nearest Market for Shopping,Stay Options Near Railway Station,Stay Options Near Airport,Stay Options Near Bus Stand,Things to Do,Suitable For,Notes
P011,Rajivlochan Temple – Rajim,Gariaband,Temple,Vishnu Temple / Prayag of CG,45,Raipur,45 km (no station at Rajim),Raipur Airport,45 km,Raipur Bus Stand / Rajim Bus Stop,45 km,October – March (Kumbh Mela: Feb),Yes,Yes,No,Drive from Raipur (1 hr) or frequent state bus,Yes – cabs from Raipur,Yes – frequent buses Raipur–Rajim,No railway at Rajim,20,500,200,1000,"Chila, Bafauri, Paan (Rajim paan famous)",Dhabas near temple ghat; Rajim market stalls,Rajim local market near temple,Budget lodges Rajim; or stay at Raipur (45 min),Stay at Raipur (45 km),Budget lodges near Rajim bus stop,"Temple darshan, river ghat bath at Triveni Sangam, Rajim Kumbh (Feb), boat ride","Devotees, pilgrims, families",3-river confluence (Triveni Sangam). Rajim Kumbh Mela in Feb – huge pilgrimage. Easy day trip from Raipur.
P012,Mahamaya Temple – Ratanpur,Bilaspur,Temple,Shakti Peetha – State's most revered,25,Bilaspur,25 km,Raipur Airport,140 km (Bilaspur),Bilaspur Bus Stand,25 km,All Year (peak: Navratri),Yes,Yes,No,Train to Bilaspur (2 hrs) then cab 25 km; or drive via NH130,Yes – cabs from Bilaspur,Yes – buses from Bilaspur,Yes – train to Bilaspur then cab,10,600,200,1200,"Chila, Sabudana Khichdi, Tilgur (winter)",Dhabas near temple; Ratanpur town,Ratanpur local market; Bilaspur markets,Budget lodges near Bilaspur station,Hotels near Raipur Airport (140 km),Budget lodges near Bilaspur bus stand,"Temple darshan, ancient fort ruins nearby, large tank (talab)","Devotees, pilgrims, history lovers",Ancient capital of Haihaya dynasty. One of most visited temples in CG during Navratri.
P013,Bambleshwari Temple – Dongargarh,Rajnandgaon,Temple,Hilltop Shakti Temple with Ropeway,115,Dongargarh,0.5 km,Raipur Airport,115 km,Dongargarh Bus Stand,1 km,All Year (peak: Navratri Apr & Oct),Yes,Yes,No,Train to Dongargarh (2 hrs – direct on Mumbai-Howrah line); very easy by train,Yes – autos from station,Yes – buses from Raipur,Yes – direct train (on main Mumbai-Howrah line),0,500,200,1000,"Sabudana Khichdi, Dudh Fara, Chila",Dhabas near station and temple base,Dongargarh local market; Rajnandgaon market,Budget lodges & dharmshala near Dongargarh station,Hotels near Raipur Airport,Budget lodges near bus stand,"Ropeway ride to hilltop, temple darshan, hilltop panoramic view, foothill temple also","Devotees, families, pilgrims",Train is easiest option – station at temple base. Ropeway available. Millions visit in Navratri.
P014,Kaushalya Mata Temple – Chandkhuri,Raipur,Temple,Only Kaushalya Mata Temple in India,27,Raipur,27 km,Raipur Airport,27 km,Raipur Bus Stand,27 km,All Year (peak: Ram Navami),Yes,Yes,No,Drive or cab from Raipur (40 min); no direct bus,Yes – cabs from Raipur,No direct bus,No railway at Chandkhuri,0,0,150,300,"Chila, Bafauri, local snacks",Roadside dhabas near temple,Raipur markets (return trip),Day trip from Raipur (27 km),Day trip from Raipur (close to airport),Day trip from Raipur,"Temple darshan (island temple inside lake), Ram Navami celebration, peaceful lake surroundings","Devotees, pilgrims, Ram bhakts, unique temple seekers",ONLY temple in entire India dedicated to Ram's mother Kaushalya. Island temple inside pond. Must visit for CG tourists.
P015,Deorani-Jethani Temple – Talagaon,Raipur,Temple,5th Century Shiva Temple (UNESCO shortlisted),55,Tilda,10 km,Raipur Airport,55 km,Tilda Bus Stand,10 km,October – March,Yes,No,No,Drive from Raipur to Tilda then 10 km; or train to Tilda then cab,Yes – cabs from Tilda,Limited bus,Yes – train to Tilda,0,0,150,500,"Chila, Fara, local snacks",Dhabas at Tilda town,Raipur markets,Day trip or budget lodge at Tilda,Day trip from Raipur (55 km),Budget lodge near Tilda bus stand,"Ancient temple tour, rare monster-face Shiva sculpture, archaeological site","Heritage lovers, history buffs, photographers",5th century temple with unique Vyala (monster-face) idol. Rare archaeological site.
P016,Lakshmana Temple – Sirpur,Mahasamund,Temple,7th Century Brick Temple / Archaeological Site,84,Mahasamund,24 km,Raipur Airport,84 km,Mahasamund Bus Stand,24 km,October – March,Yes,No,No,Drive from Raipur (2 hrs) via Mahasamund; or train to Mahasamund then cab,Yes – cabs from Mahasamund,Yes – buses from Raipur to Mahasamund,Yes – train to Mahasamund,20,600,200,1200,"Chila, Bafauri, Lal Bhaji",Dhabas at Sirpur; Mahasamund restaurants,Mahasamund local market,Budget lodges near Mahasamund station,Hotels near Raipur Airport,Budget lodges near bus stand,"Lakshmana Temple, Surang Tila excavation, Buddhist vihara ruins, Sirpur Dance Festival (Jan)","Heritage tourists, archaeology lovers, photographers",Proposed UNESCO World Heritage Site. Best-preserved Gupta-era brick temple in India. Combine with Rajim (both on same route).
P017,Dudhadhari Temple – Raipur,Raipur,Temple,17th Century Ram Temple / City Landmark,2,Raipur,2 km,Raipur Airport,13 km,Raipur Bus Stand,2 km,All Year,Yes,Yes,Yes,Auto/cab within Raipur city (10 min),Yes – abundant,Yes – city bus,–,0,0,150,300,"Chila, Bafauri, street food (Gol Bazaar nearby)",Gol Bazaar street food stalls; Dudhadhari area dhabas,Gol Bazaar Raipur (5 min walk); Shastri Market,All hotel categories in Raipur (2 km),Hotels near Raipur Airport (13 km),Hotels near Raipur bus stand (2 km),"Temple darshan, math (monastery) compound, cow shelter, Old Raipur heritage walk","Devotees, city tourists, heritage walkers",17th century temple with ancient monastery. Starting point for Raipur heritage walk. Gol Bazaar famous street food market is adjacent.
P018,Chandrahasini Devi Temple,Janjgir-Champa,Temple,River Island Temple – Shakti Shrine,130,Champa,28 km,Raipur Airport,130 km,Champa Bus Stand,28 km,October – March,Yes,No,No,Train to Champa (2 hrs) then cab 28 km,Yes – cabs from Champa,Yes – buses from Champa,Yes – train to Champa,0,500,200,1000,"Chila, Fara, Bore Basi",Dhabas at Chandrakhuri; Champa restaurants,Champa local market,Budget lodges near Champa station,Hotels near Raipur Airport,Budget lodges near Champa bus stand,"Temple darshan (river island temple), Mahanadi river view, boat access in monsoon","Devotees, pilgrims, nature lovers",Sacred temple on Mahanadi bank. River island feel. Accessible by road bridge.
P019,Kanger Valley National Park,Bastar,Wildlife,National Park + Biosphere Reserve,280,Jagdalpur,22 km,Raipur Airport,280 km,Jagdalpur Bus Stand,22 km,October – June,Yes,Partial,No (closed monsoon),Drive to Jagdalpur (4.5 hrs) then cab 22 km,Yes – from Jagdalpur,Yes – CSRTC to Jagdalpur,Indirect via Durg,150,1000,350,2000,"Forest mushroom, Muthia, Aamat curry",Dhabas near park gate; Jagdalpur hotels,Jagdalpur Haat Bazaar,Budget-luxury hotels near Jagdalpur station,No airport nearby,Budget lodges near Jagdalpur bus stand,"Kotumsar Cave, Kailash Cave, Tirathgarh Falls, jungle safari, bird watching, tribal village walk","Wildlife enthusiasts, families, adventure seekers","Contains Kotumsar Cave (longest in India), Tirathgarh Falls. Permits required for caves – limited per day."
P020,Achanakmar Tiger Reserve,Mungeli,Wildlife,Tiger Reserve + Biosphere Reserve,155,Bilaspur,55 km,Raipur Airport,155 km,Bilaspur Bus Stand,55 km,October – May,Yes,No,No (closed Jun-Sep),Train to Bilaspur (2 hrs) then cab 55 km; or drive via NH130,Yes – from Bilaspur,Limited bus,Yes – train to Bilaspur,150,1200,350,2500,"Chila, Bore Basi, Chicken CG style",Dhabas near reserve; Bilaspur restaurants,Bilaspur Gandhi Chowk market,Budget-mid hotels near Bilaspur station,Hotels near Raipur Airport,Hotels near Bilaspur bus stand,"Tiger safari, leopard spotting, jungle trek, bird watching, bison spotting","Wildlife photographers, tiger safari lovers, nature enthusiasts",Book safari permits in advance on CG Forest Dept website. Base at Bilaspur – good hotel options.
P021,Barnawapara Wildlife Sanctuary,Baloda Bazar,Wildlife,Wildlife Sanctuary,110,Baloda Bazar,30 km,Raipur Airport,110 km,Baloda Bazar Bus Stand,30 km,November – March,Yes,No,No,Drive from Raipur (2 hrs); or bus to Baloda Bazar then cab,Yes – local cabs,Yes – bus to Baloda Bazar,No direct train to sanctuary,50,800,250,1700,"Chila, local forest food",Dhabas near sanctuary,Baloda Bazar market,Budget lodges near Baloda Bazar station,Day trip from Raipur or budget lodge,Budget lodges near Baloda Bazar bus stand,"Jungle safari, deer spotting, wild boar, bison, bird watching","Wildlife lovers, day trippers from Raipur",Closest wildlife sanctuary to Raipur. Easy day trip or overnight.
P022,Indravati National Park,Bijapur,Wildlife,Tiger Reserve (Remote),530,Bijapur,5 km,Raipur Airport,530 km,Bijapur Bus Stand,5 km,November – March,Partial,No,No (closed),Drive (9–10 hrs) or flight if available to Jagdalpur then drive further; very remote,Yes – limited local cabs,Limited bus,No direct train,200,800,300,1800,"Tribal food, Aamat, Bamboo dishes",Local dhabas Bijapur,Bijapur local market,Government rest house / basic lodge near Bijapur station area,No airport nearby,Basic lodge near Bijapur bus stand,"Jungle safari, wild buffalo spotting, rare wildlife, untouched forest","Adventure seekers, wildlife experts, serious nature tourists",Very remote. Home to rare wild buffalo. Check security situation before travel. Plan 2–3 nights.
P023,Kotumsar Cave,Bastar,Cave,Limestone Cave (India's Longest Natural Cave),280,Jagdalpur,35 km,Raipur Airport,280 km,Jagdalpur Bus Stand,35 km,October – June,Yes,Partial,No (closed),Drive to Jagdalpur then 35 km inside Kanger Valley NP,Yes – from Jagdalpur,Yes – CSRTC to Jagdalpur then cab,Indirect,70,1000,300,1900,"Muthia, forest food, Aamat",Dhabas near park gate,Jagdalpur Haat Bazaar,Budget hotels near Jagdalpur station,No airport nearby,Lodges near Jagdalpur bus stand,"Cave exploration, stalactite-stalagmite formations, blind fish sighting, Shiva shrine inside","Adventure seekers, nature lovers, families",1327 m long cave. Limited entry slots per day – book early. Inside Kanger Valley NP (same entry ticket).
P024,Kailash Gufa – Jashpur,Jashpur,Cave,Sacred Limestone Cave,450,No railway nearby,Approx 30 km (Kunkuri area),Raipur Airport,450 km,Jashpur Bus Stand,30 km,October – March,Yes,No,No,Drive via NH49 (7–8 hrs) or base at Jashpur,Yes – local cabs from Jashpur,Limited bus,No,20,800,250,1700,"Tribal food, mushroom curry",Local dhabas Jashpur,Jashpur tribal craft shops,Guest houses Jashpur town,No airport nearby,Budget lodge near Jashpur bus stand,"Cave tour, natural Shivalinga, photography, combine with Jashpur tourism","Spiritual tourists, cave explorers, nature lovers",Natural Shivalinga inside cave. Combine with Jashpur district sightseeing.
P025,Singhanpur Cave – Raigarh,Raigarh,Cave,Pre-historic Rock Painting Site,290,Raigarh,15 km,Raipur Airport,290 km,Raigarh Bus Stand,15 km,October – March,Yes,No,No,Train to Raigarh (4 hrs) then cab 15 km,Yes – cabs from Raigarh,Yes – bus to Raigarh,Yes – train to Raigarh,0,600,200,1200,"Chila, local snacks",Dhabas at Raigarh town,Raigarh local market,Budget lodges near Raigarh station,No airport nearby,Budget lodges near Raigarh bus stand,"Rock paintings (30,000+ years old), cave archaeology, photography","History buffs, archaeology lovers",Pre-historic cave paintings – thousands of years old. Rare heritage site.
P026,Gangrel Dam – Dhamtari,Dhamtari,Lake / Dam,Largest Reservoir in CG on Mahanadi,78,Dhamtari,8 km,Raipur Airport,78 km,Dhamtari Bus Stand,8 km,October – March,Yes,No,No (water level high – caution),Drive from Raipur (1.5 hrs) via Dhamtari; or bus to Dhamtari then cab 8 km,Yes – cabs from Dhamtari,Yes – buses from Raipur,No direct train,20,600,200,1200,"Chila, Bafauri, river fish curry",Dhabas near dam; Dhamtari restaurants,Dhamtari local market,Budget hotels near Dhamtari bus stand,Day trip from Raipur (1.5 hr),Budget hotels near Dhamtari bus stand,"Boating, picnic, bird watching (migratory birds Nov–Feb), sunset view, island picnic spot","Families, couples, bird watchers, day trippers",Largest dam in CG. Migratory birds in winter. Easy 1.5 hr drive from Raipur.
P027,Dalpat Sagar Lake – Jagdalpur,Bastar,Lake / Dam,Natural Lake with Island,295,Jagdalpur,2 km,Raipur Airport,295 km,Jagdalpur Bus Stand,2 km,October – March,Yes,No,Partial,Drive to Jagdalpur (5.5 hrs); or train to Jagdalpur,Yes – cabs in Jagdalpur,Yes – CSRTC,Indirect,0,800,250,1500,"Aamat curry, Muthia, bamboo pickle",Jagdalpur restaurants and dhabas,Jagdalpur Haat Bazaar,Budget hotels near Jagdalpur station,No airport nearby,Lodges near Jagdalpur bus stand,"Boating, island visit, photography, picnic, sunset","Families, couples, nature lovers",Natural lake inside Jagdalpur city. Combine with Jagdalpur tribal tourism.
P028,Madku Dweep – Bilaspur,Bilaspur,Lake / River,River Island with Ancient Temples,155,Bilaspur,30 km,Raipur Airport,155 km,Bilaspur Bus Stand,30 km,October – March,Yes,No,No,Train to Bilaspur then cab 30 km,Yes – cabs from Bilaspur,Yes – buses from Bilaspur,Yes – train to Bilaspur,0,600,200,1200,"Chila, Bore Basi, local fish",Dhabas at Malkhandi near island,Bilaspur Gandhi Chowk market,Budget-mid hotels near Bilaspur station,Hotels near Raipur Airport,Hotels near Bilaspur bus stand,"River island exploration by boat, ancient Shiva temples, seasonal festivals, bird watching","History lovers, families, pilgrims",Island in Shivnath river. Ancient coins and artefacts found here. Seasonal boat access.
P029,Nandanvan Zoo & Jungle Safari – Raipur,Raipur,Park / Zoo,City Zoo + Jungle Safari (Largest in Asia),12,Raipur,12 km (Naya Raipur),Raipur Airport,12 km,Raipur Bus Stand (then cab),12 km,October – March (best); closed Monday,Yes,No (hot),No,Cab or auto from Raipur city (30 min); closest to Raipur airport,Yes – abundant cabs,Yes – city bus to Naya Raipur area,No,250,0,300,600,"Chila, Bafauri, food court inside",Food stalls and small food court inside safari,Naya Raipur City Center Mall (nearby),Hotels Naya Raipur (12 km from airport),Hotels 10–15 min from Raipur Airport,Hotels near Raipur bus stand (12 km),"Jungle safari by bus inside 800-acre forest, lion, tiger, bear, deer, crocodile viewing, Nandanvan Zoo animals","Families with kids, animal lovers, day trippers",One of Asia's largest jungle safaris. Must book safari tickets online in advance. Very popular with families.
P030,Maitri Bagh Zoo – Bhilai,Durg (Bhilai),Park / Zoo,Zoo + Garden (India-Russia Friendship Park),30,Bhilai Nagar Station,8 km,Raipur Airport,45 km,Bhilai Bus Stand,5 km,October – March (closed Monday),Yes,No,No,Drive from Raipur (1 hr via NH53); or train to Bhilai/Durg then cab 8–10 km,Yes – autos & cabs from Durg/Bhilai station,Yes – local buses from Durg,Yes – train to Durg/Bhilai on Mumbai-Howrah line,20,0,200,400,Street food at Civic Center Bhilai; Hari Raj Restaurant (veg),Hari Raj Restaurant (famous veg); Bhilai Civic Center food stalls; Kailash Parbat restaurant,Bhilai Civic Center Market (Sector 5); City Center Mall Bhilai,Budget-mid hotels near Durg/Bhilai station,Mid hotels near Raipur Airport (45 km),Hotels near Bhilai bus stand,"Zoo (white tigers, lions, 39 species), musical fountain show (evenings), toy train Maitri Express, Pragati Minar tower, boating, flower show (Jan-Feb)","Families, kids, day trippers from Raipur",Biggest zoo in CG. White tiger is star attraction. Closed Mondays. Musical fountain in evenings is highlight. Annual flower show in Jan-Feb.
P031,Purkhauti Muktangan – Naya Raipur,Raipur,Museum / Park,Open-Air Culture Museum (CG Heritage Park),10,Raipur,10 km (Naya Raipur),Raipur Airport,10 km,Raipur Bus Stand,10 km,October – March,Yes,No,No,Cab from Raipur city (25 min); near airport,Yes – abundant cabs,Yes – city bus Naya Raipur,No,30,0,150,300,"Food stalls inside; Chila, local snacks",Food stalls inside park,Naya Raipur area markets,Hotels Naya Raipur (near airport),Hotels 10 min from Raipur Airport,Hotels near Raipur bus stand,"Tribal art displays, folk dance models, traditional CG habitats, artefacts, open-air walkthrough","Families, cultural tourists, first-time CG visitors",Inaugurated by APJ Abdul Kalam. Best first stop for CG tourists – overview of entire state culture.
P032,Mahant Ghasi Das Museum – Raipur,Raipur,Museum / Park,State Museum (Oldest Museum in CG),1,Raipur,1 km,Raipur Airport,13 km,Raipur Bus Stand,1 km,All Year (closed Monday),Yes,Yes,Yes,Auto/cab in Raipur city (5 min),Yes – abundant,Yes – city bus,–,10,0,150,200,"Gol Bazaar street food (5 min walk); Chila, Bafauri, chaat",Gol Bazaar street food stalls (2 min walk),Gol Bazaar Raipur (opposite museum); Shastri Market,All hotels in Raipur city,Hotels near Raipur Airport (13 km),Hotels near Raipur bus stand (1 km),"Archaeological artefacts, tribal culture exhibits, ancient coins, sculpture gallery, natural history","History lovers, families, school groups",State's oldest museum. Free for children. Located at heart of Raipur near Gol Bazaar.
P033,Ratanpur – Fort & Temples,Bilaspur,Heritage / Fort,Ancient Capital of Haihaya Dynasty,140,Bilaspur,25 km,Raipur Airport,140 km,Bilaspur Bus Stand,25 km,October – March,Yes,No,No,Train to Bilaspur (2 hrs) then cab 25 km; or drive,Yes – cabs from Bilaspur,Yes – bus from Bilaspur,Yes – train to Bilaspur,10,700,200,1300,"Chila, local snacks",Dhabas at Ratanpur; Bilaspur city restaurants,Bilaspur Gandhi Chowk; Ratanpur local shops,Budget-mid hotels near Bilaspur station,Hotels near Raipur Airport,Hotels near Bilaspur bus stand,"Mahamaya Temple darshan, fort ruins, large ancient talab (lake), Ratanpur heritage walk","History buffs, devotees, heritage tourists","Ancient capital with Mahamaya Temple (Shakti Peetha), fort ruins and multiple temples. Bilaspur as base."
P034,Barsoor – Ancient Temples,Bastar (Dantewada),Heritage / Archaeological,11th Century Temple Complex,380,Dantewada,45 km,Raipur Airport,380 km,Dantewada Bus Stand,45 km,October – February,Yes,No,No,Drive to Jagdalpur then Dantewada then 45 km cab,Yes – local cabs from Dantewada,Bus to Dantewada then cab,Indirect,10,600,200,1300,"Tribal food, Aamat, Angakar Roti",Local dhabas Dantewada,Dantewada local market,Basic lodges Dantewada,No airport nearby,Budget lodges near bus stand,"Mama-Bachha twin temples, Ganesh temple with twin idols, Battisa (32-pillar) temple ruins","Heritage lovers, archaeology enthusiasts",11th century. Twin Ganesh idols – unique. Combine with Danteshwari Temple visit.
P035,Rajim – Triveni Sangam Ghat,Gariaband,Spiritual / Pilgrimage,3-River Confluence – Prayag of CG,45,Raipur,45 km,Raipur Airport,45 km,Raipur Bus Stand / Rajim stop,45 km,October – March (Kumbh: Feb),Yes,Yes,No,Drive or bus from Raipur (1 hr),Yes,Yes – frequent buses,No,0,300,150,600,"Paan (Rajim), Chila, Bafauri",Temple road dhabas; Rajim ghat stalls,Rajim temple road market,Budget lodges at Rajim,Day trip from Raipur Airport,Budget lodges near Rajim bus stop,"River ghat bath, temple darshan, boat ride, Kumbh Mela (Feb), aarti at ghat","Pilgrims, devotees, spiritual tourists",Kumbh Mela in Feb is massive event. Triveni Sangam is most sacred spot in CG.
P036,Giraudhpuri Dham – Satnami Pilgrimage,Baloda Bazar,Spiritual / Pilgrimage,Satnami Pilgrimage Center (Guru Ghasidas Birthplace),80,Baloda Bazar,30 km,Raipur Airport,80 km,Baloda Bazar Bus Stand,30 km,All Year (peak: Magh Purnima Jan/Feb),Yes,Yes,No,Drive from Raipur (1.5 hrs); or bus to Baloda Bazar then cab,Yes – cabs from Baloda Bazar,Yes – buses from Raipur,No direct train,0,500,150,1000,"Chila, Bore Basi, simple vegetarian food",Dhabas near dham,Baloda Bazar local market,Dharamshalas at dham,Day trip from Raipur Airport,Budget lodges near bus stand,"Guru Ghasidas birthplace temple, Jaitkhamba (pillar), river view, Satnami culture","Satnami devotees, pilgrims, cultural tourists",Important pilgrimage for CG's Satnami community. Large fair on Magh Purnima.
